pert_iname,NPC1,INSIG1,HMGCS1,SMILES
BRD-K58853583,0.03855,0.5858,0.61165,Cn1c2ccccc2c(OCCCC(=O)Nc2cc(Br)ccn2)cc1=O
BRD-K70415218,0.106,-0.047,-0.2546,CCCCOc1ccc(Cl)cc1Nc2nc(NCCO)nc(n2)N3CCCC3
YL-55,0.09995000000000001,1.3076,0.85855,CCCC[C@@H]1NC(=O)[C@@](C)(CCC\C=C/CCC[C@@](C)(NC(=O)[C@H](CC(C)C)NC(=O)[C@H](CC(C)C)NC1=O)C(=O)N[C@@H](C)C(=O)N[C@@H](C)C(=O)N[C@@H](CC(N)=O)C(=O)N[C@@H](CCCNC(N)=N)C(=O)N[C@@H](CC(C)C)C(=O)N[C@@H](CCC(O)=O)C(=O)N[C@@H](CCCNC(N)=N)C(O)=O)NC(=O)[C@@H](NC(=O)[C@H](CCCNC(N)=N)NC(=O)[C@H](CCCNC(N)=N)NC(=O)CCNC(C)=O)[C@@H](C)CC
BRD-K45114207,0.0829,-0.218,-0.2912,CN1C(=O)c2ccc(NC(=O)c3cccc4ccccc34)cc2C1=O
BRD-K51916742,1.115,-0.2776,0.2435,OC[C@H]1[C@@H]([C@@H]2CN(CC(=O)N12)C(=O)c1cnccn1)c1ccc(cc1)C#CCc1ccccc1
tyramine,-0.4932,-1.1904,0.0003,NCCc1ccc(OS(O)(=O)=O)cc1
BRD-K02575886,-1.2338500000000001,-0.33155000000000007,-2.7447000000000004,C[C@H](CO)N1C[C@H](C)[C@H](CN(C)CC2CCCCC2)Oc3ccc(NC(=O)Nc4ccc(F)cc4)cc3CC1=O
labetalol,-0.1848,-0.8942,-0.0751,C[C@H](CCc1ccccc1)NC[C@H](O)c1ccc(O)c(c1)C(N)=O
PD-158780,-0.057,-0.4885,0.0412,CNc1cc2c(Nc3cccc(Br)c3)ncnc2cn1
BRD-K86671899,0.6612500000000001,-2.2702,0.24209999999999998,O[C@H]1COC[C@H]2O[C@@H](CC(=O)NC3CCC3)CC[C@@H]2N(C1)C(=O)Nc1ccc(Cl)c(Cl)c1
rutin,0.044050000000000006,-0.05,-0.60135,C[C@@H]1O[C@@H](OC[C@H]2O[C@@H](Oc3c(oc4cc(O)cc(O)c4c3=O)-c3ccc(O)c(O)c3)[C@H](O)[C@@H](O)[C@@H]2O)[C@H](O)[C@H](O)[C@H]1O
bisacodyl,0.62,0.3159,-0.0131,CC(=O)Oc1ccc(cc1)C(c1ccc(OC(C)=O)cc1)c1ccccn1
BRD-K37669227,-0.8859999999999999,0.31835,0.25045,CC(C)NC(=O)N(C)C[C@H]1OCCCC[C@@H](C)Oc2ccc(NC(=O)C3CCCCC3)cc2C(=O)N(C[C@@H]1C)[C@H](C)CO
BRD-K50131741,0.5487500000000001,-0.6648,0.1177,Cc1ccccc1S(=O)(=O)N1C[C@@H](O)COC[C@@H]2O[C@@H](CC(=O)NCc3ccccc3Cl)CC[C@@H]12
adenosine-phosphate,-2.5237,-0.7148,1.0369000000000002,Nc1ncnc2n(cnc12)[C@@H]3O[C@H](COP(=O)(O)O)[C@@H](O)[C@H]3O
hexylcaine,-0.84205,0.25375,0.13344999999999999,CC(CNC1CCCCC1)OC(=O)c1ccccc1
BRD-K95547711,0.2695,0.2272,-2.5069,CCn1c2ccccc2c3nnc(SCCCn4c(O)nc5ccccc45)nc13
BRD-K86693415,-0.72635,-0.15994999999999998,0.17845,CC(C)Oc1nc(nc2ccccc12)c3ccc(Cl)cc3
BRD-K46555875,-0.651,0.29615,-0.75915,CCOC(=O)c1cccc(c1)n2cccc2/C=C/3\NC(=O)N(CC(=O)O)C3=O
JPR-3-97-17,-0.24705,-0.0824,-0.004500000000000004,CCCC[C@H]1OB(O)C[C@H]2C1=C(COC)Cn3n2c(=O)n(c4ccccc4)c3=O
BRD-K18814836,0.25025,-0.0651,-0.23185,OC[C@H]1[C@H]2[C@H](CNc3ccccc23)N1C(=O)Nc1ccc(F)cc1
BRD-K79381128,-1.0196,-0.1933,-0.828,FC(F)(F)Sc1ccc(cc1)C(=O)OCC#CCSc1nnc(o1)-c1cccc2ccccc12
BRD-K52831896,0.2554,-0.0833,-0.0001,CC(C)NC(=O)Nc1ccc2O[C@H](C)CCCCO[C@H](CN(C)S(=O)(=O)c3c(C)noc3C)[C@H](C)CN([C@@H](C)CO)C(=O)c2c1
purpurogallin,-0.6187,-0.1135,-0.0005,Oc1cc2cccc(O)c(=O)c2c(O)c1O
nicotine,-0.2449,0.18380000000000002,-1.03145,CN1CCC[C@H]1c1cccnc1
BRD-K93156709,0.1104,0.4824,0.6832,C[C@@H](CO)N1C[C@H](C)[C@H](CN(C)C(=O)c2ccc(F)cc2)Oc3cc(ccc3S1(=O)=O)C4=CCCCC4
dihydrosamidin,-0.47964999999999997,-0.15765,-0.1068,CC(C)CC(=O)O[C@@H]1[C@H](OC(=O)C)c2c(OC1(C)C)ccc3ccc(=O)oc23
acenocoumarol,0.43220000000000003,-0.0818,0.03254999999999997,CC(=O)CC(c1ccc(cc1)[N+]([O-])=O)c1c(O)c2ccccc2oc1=O
BRD-K70804088,0.71165,0.4718,0.5467,C[C@H](CO)N1C[C@@H](C)[C@H](CN(C)CC2CCCCC2)Oc3ccc(NS(=O)(=O)c4ccc(F)cc4)cc3CC1=O
BRD-A31946439,-0.6908,-0.13735000000000003,-0.69165,Cc1ccnc(NC(=S)N2CC3CN(CC3C2)c2cccc(c2)C(F)(F)F)c1
BRD-K68205606,-0.3022,-0.6678,-0.9192,C[C@@H](CO)N1C[C@H](C)[C@@H](CN(C)Cc2cccc(F)c2)Oc3ncc(C#CCN(C)C)cc3C1=O
ZD-7114,-0.4452,0.2101,-2.448,COCCNC(=O)COc1ccc(OCCNC[C@@H](O)COc2ccccc2)cc1
BRD-A30856524,-0.2227,-0.1478,0.0439,CC1(C)CC2C1CC[C@]1(C)CCC3C(CC(=O)O[C@]23C1)C(O)=O
darifenacin,0.6643,-0.3728,-4.8911,NC(=O)C([C@@H]1CCN(CCc2ccc3OCCc3c2)C1)(c1ccccc1)c1ccccc1
BRD-A38425832,-1.3393,-0.4921,0.14905,COc1ccc(cc1COc1ccccc1C)C1Nc2ccccc2C(=O)N1Cc1ccco1
lactotensin,-0.7925500000000001,-0.33785,0.0,CCC(C)C(NC(=O)C(N)Cc1c[nH]cn1)C(=O)NC(CCCNC(N)=N)C(=O)NC(CC(C)C)C(O)=O
BRD-K10554164,0.6306,0.4587,-0.063,OC(=O)CCN1C(=O)c2cccc3c(ccc(C1=O)c23)[N+](=O)[O-]
stanozolol,0.0897,-0.5466,0.3292,C[C@]1(O)CC[C@@H]2[C@@H]3CC[C@H]4Cc5[nH]ncc5C[C@]4(C)[C@@H]3CC[C@]12C
6-benzylaminopurine,0.009050000000000002,-1.3552499999999998,-0.5231,N(Cc1ccccc1)c1ncnc2nc[nH]c12
Y-134,1.9106,3.6895,2.8953,CC(C)N1CCN(CC1)c1ccc(cc1)C(=O)c1c(sc2cc(O)ccc12)-c1ccc(O)cc1
dinoprostone,-0.11274999999999999,-0.2737,-1.01605,CCCCC[C@H](O)\C=C\[C@H]1[C@H](O)CC(=O)[C@@H]1C\C=C/CCCC(O)=O
BRD-K76915833,2.3526,0.6123,-4.0204,CCCNC(=O)N1C[C@@H]2[C@@H]([C@H](CO)N2C(=O)C1)c1ccc(cc1)C#Cc1cccc(OC)c1
BRD-K47764688,-0.4353,-0.287,0.1318,NC(=O)[C@]1(Cc2ccccc2)N=C(O[C@@H]1c3ccccc3N=[N+]=[N-])c4ccc(OCCCO)cc4
BRD-K97701319,-0.11495,-0.1446,-1.46695,Nc1ccc(cc1)C(=O)Nc2ccc(O)c(c2)c3nc4ccccc4o3
BRD-K25214457,-0.5471,0.5666,-0.2357,C[C@@H](CO)N1C[C@@H](C)[C@H](CN(C)Cc2ccc(cc2)C(F)(F)F)Oc3ccc(NC(=O)Nc4ccccc4)cc3CC1=O
BRD-K04733502,2.0122,4.6396,3.4082,C[C@@H](CO)N1C[C@H](C)[C@H](CN(C)C(=O)Nc2ccc(F)cc2)OCCCC[C@H](C)Oc3ccc(NS(=O)(=O)c4ccccc4)cc3C1=O
BRD-K92107474,0.57525,-0.10350000000000001,0.25675,CCOC(=O)c1ccc(o1)-c1ccc2ncnc(N(C)Cc3sccc3C)c2c1
biochanin-a,-0.07504999999999998,0.60455,-1.32595,COc1ccc(cc1)c2coc3cc(OC(=O)C)cc(OC(=O)C)c3c2=O
BRD-K25373946,0.51925,0.15725,-0.27115,CN(Cc1ccco1)c2ncnc3ccc(cc23)c4ccccc4Cl
BRD-K44562105,0.42395,1.0752,1.3668,C[C@H](CO)N1C[C@@H](C)[C@@H](CN(C)C(=O)NC2CCCCC2)OCCCC[C@@H](C)Oc3ccc(NC(=O)CCC(F)(F)F)cc3C1=O
