GeneSymbol,Value
FCGBP,-2.14025735452506
CRIP1,1.91913584707931
SEPW1,1.22630468757022
MT-CO3,1.14717963903923
MT3,-1.12765508562322
TAGLN2,1.21884118065289
S100A6,0.98193197303078
PPP1R1A,-0.353733320625249
MIF,0.867286162725367
CRISP3,-0.805656916233749
SCGB1A1,-0.998169706174286
MSLN,1.56742810050653
CD63,0.727691711664168
FABP5,-1.55837381950775
KLK11,-0.727823420082833
MMP7,1.9659534591127
MT-CYB,0.753423504234427
LAG3,-0.518381470398327
MT-CO1,0.760906762801806
S100A10,1.38495296959264
KLK14,-0.493815245024696
CRIP2,0.794800415810247
NPC2,1.10888759608364
PTGFR,-0.380557312123039
PI3,-0.767651362032134
EZR,0.837705010339575
DUSP23,0.908266554058673
ALPL,-0.522852741273176
MT-ND3,0.727028558074934
MT-ND4,0.716026860215796
CYP2F1,-1.05925748030462
COX6A1,0.677810022374703
LY6E,0.66469043777174
ATP6V0B,0.65947174846462
PSAP,0.721576723964211
HSP90AA1,0.729987915981644
ALDH1A1,-0.755407468584163
GPX4,0.689354026414305
PART1,-0.342003468531201
SPINT2,0.563662641454315
OST4,0.597115767907695
SAT1,0.789723554489471
KLK10,-0.656085412907528
SERPINB1,0.860223213463588
RNASEK,0.606101555508822
NR4A1,-0.863552579269439
CALM1,0.645852434104461
NEAT1,0.825463099605172
FAM83D,-0.316623136051719
ADRA2A,-0.395945588713124
VIM,1.44309365291065
MSMB,-2.12766852514925
MUC16,0.886886749693913
ITM2B,0.558466273212817
MYL6,0.621833900575782
CIB1,0.597218101565981
CTSB,0.672454845502083
SERPINA1,0.830439765424967
TMEM59,0.525420022639239
POLR2L,0.556011761126806
ATP6V0E1,0.577066662359005
PTTG1IP,0.654750715266006
HSPA1A,0.875340044473743
CEACAM6,0.939695842416097
CHP2,-0.45873490553848
MT-CO2,0.533650332398397
TSPO,0.606395506566265
MT1X,0.770121730153186
COX5B,0.537098062964232
SYNGR2,0.581819192812155
TCEB2,0.520852928450083
SLC34A2,0.878910525581514
IL6,-0.528338599063929
CXCL2,-1.07637748767788
PPIB,0.649813122059346
ANXA1,0.932575159405642
CFL1,0.545976495532334
LTF,-0.577514718703602
EGR1,-0.706255363600771
CD24,0.841724484184414
