"","identifier","log2FoldChange","logCPM","LR","pvalue","padj","tax_id","GeneID","LocusTag","chromosome","map_location","description","type","Symbol_autho","name","status","other","Symbol"
"1","ENSG00000000003",-0.282585187038502,6.93988973746728,1.39746771183779,0.237148018709127,1,9606,7105,"UNQ767/PRO1560","X","Xq22","tetraspanin 6","protein-coding","TSPAN6","tetraspanin 6","O","A15 homolog|putative NF-kappa-B-activati","TSPAN6"
"2","ENSG00000000419",-0.278823926179335,5.9056966803264,1.38591872626972,0.239095539986827,1,9606,8813,"RP5-914P20.2","20","20q13.13","dolichyl-phosphate mannosyltransferase polypeptide 1, catalytic subunit","protein-coding","DPM1","dolichyl-phosphate mannosyltransferase polypeptide 1, catalytic subunit","O","DPM synthase complex, catalytic subunit|","DPM1"
"3","ENSG00000000457",-0.0904199772362589,3.86454441434212,0.154432775712305,0.69433472746454,1,9606,57147,"RP1-97P20.2","1","1q24.2","SCY1-like 3 (S. cerevisiae)","protein-coding","SCYL3","SCY1-like 3 (S. cerevisiae)","O","SCY1-like protein 3|ezrin-binding partne","SCYL3"
"4","ENSG00000000460",-0.23543595949556,4.69657680636617,1.01706064327291,0.313217248883506,1,9606,55732,"NULL","1","1q24.2","chromosome 1 open reading frame 112","protein-coding","C1orf112","chromosome 1 open reading frame 112","O","uncharacterized protein C1orf112","C1orf112"
"5","ENSG00000000971",0.0442252563119314,7.94488750037989,0.0375547460068191,0.846339949914335,1,9606,3075,"RP1-177P10.1","1","1q32","complement factor H","protein-coding","CFH","complement factor H","O","H factor 1 (complement)|H factor 2 (comp","CFH"
"6","ENSG00000001036",-0.0430136641667756,7.53105251819696,0.038799033186784,0.843847334895246,1,9606,2519,"RP1-20N2.5","6","6q24","fucosidase, alpha-L- 2, plasma","protein-coding","FUCA2","fucosidase, alpha-L- 2, plasma","O","alpha-L-fucosidase 2|alpha-L-fucoside fu","FUCA2"
"7","ENSG00000001084",0.285186884236518,5.36963153188582,1.67374643502907,0.195757480902426,1,9606,2729,"NULL","6","6p12","glutamate-cysteine ligase, catalytic subunit","protein-coding","GCLC","glutamate-cysteine ligase, catalytic subunit","O","GCS heavy chain|gamma-ECS|gamma-glutamyl","GCLC"
"8","ENSG00000001167",-0.0876164021938086,5.88582190464168,0.150359374601926,0.698192163399531,1,9606,4800,"NULL","6","6p21.3","nuclear transcription factor Y, alpha","protein-coding","NFYA","nuclear transcription factor Y, alpha","O","CAAT box DNA-binding protein subunit A|C","NFYA"
"9","ENSG00000001460",-0.568404669244876,1.78909835635209,3.18201388001154,0.0744529146335754,1,9606,90529,"RP3-462O23.2","1","1p36.11","sperm-tail PG-rich repeat containing 1","protein-coding","STPG1","sperm-tail PG-rich repeat containing 1","O","O(6)-methylguanine-induced apoptosis 2|O","STPG1"
"10","ENSG00000001461",-0.280791300307382,3.71083842093847,0.968426804425416,0.325072842938167,1,9606,57185,"RP3-462O23.3","1","1p36.12-p35.1","NIPA-like domain containing 3","protein-coding","NIPAL3","NIPA-like domain containing 3","O","NIPA-like protein 3","NIPAL3"
